wave_num,CAOX-1-1,CAOX-1-2,CAOX-1-3,CAOX-1-4,CAOX-1-5,CAOX-1-6,CAOX-2-1,CAOX-2-2,CAOX-2-3,CAOX-2-4,CAOX-2-5,CAOX-2-6,DCY-1-1,DCY-1-2,DCY-1-3,DCY-1-4,DCY-1-5,DCY-1-6,DCY-2-1,DCY-2-2,DCY-2-3,DCY-2-4,DCY-2-5,DCY-2-6,URIC-1-1,URIC-1-2,URIC-1-3,URIC-1-4,URIC-1-5,URIC-1-6,URIC-2-1,URIC-2-2,URIC-2-3,URIC-2-4,URIC-2-5,URIC-2-6,APA-1-1,APA-1-2,APA-1-3,APA-1-4,APA-1-5,APA-1-6,DCP-1-1,DCP-1-2,DCP-1-3,DCP-1-4,DCP-1-5,DCP-1-6
2.430390939,0.38791,0.36457,0.36973,0.37235,0.38043,0.37143,0.60253,0.63311,0.63577,0.6101,0.64309,0.62237,0.73492,0.7725,0.7182,0.74188,0.72901,0.71795,1.62517,1.50137,1.56589,1.40447,1.64729,1.3719,0.50505,0.49606,0.48052,0.49002,0.47792,0.47409,0.85816,0.8044,0.8314,0.84149,0.83952,0.8232,1.12252,1.13147,1.10792,1.12007,1.11226,1.1234,0.9033355169614254,0.8986416400311319,0.8882191838684488,0.8936163872458069,0.8972694110861108,0.8776923922802412
2.415924392,0.38026,0.36369,0.36038,0.37115,0.36547,0.37695,0.61044,0.63464,0.63327,0.61186,0.63622,0.61206,0.79156,0.80382,0.76149,0.77481,0.77438,0.77565,1.73527,1.52411,1.67811,1.52102,1.99238,1.49361,0.6121,0.59577,0.57599,0.5905,0.57361,0.5591,1.05293,0.97221,1.01841,1.01708,1.01014,1.01384,1.11587,1.12778,1.10427,1.11366,1.08262,1.09013,0.8797463430842768,0.8704833334138364,0.8744742263974843,0.8747282888419287,0.8649212364754717,0.8701526678356395
2.401457846,0.36407,0.3623,0.34946,0.37031,0.35361,0.38022,0.60901,0.64655,0.61857,0.61599,0.62737,0.60642,0.80533,0.81672,0.79814,0.79053,0.80945,0.81878,1.7818,1.65069,1.83283,1.58761,2.10283,1.67648,0.7054,0.67626,0.67598,0.67395,0.66581,0.64137,1.23574,1.17387,1.2107,1.17499,1.19869,1.24072,1.10814,1.0983,1.0996,1.11115,1.08659,1.09574,0.8774428900651285,0.8652977788366017,0.8645822748326168,0.8623974763170424,0.8661579957990561,0.8674733085789198
2.386991299,0.3541,0.35963,0.34463,0.36922,0.3486,0.37846,0.60888,0.64582,0.60265,0.62039,0.6185,0.60159,0.7657,0.81583,0.81517,0.78755,0.81514,0.82413,1.65803,1.62481,1.82132,1.53307,1.96748,1.65445,0.7198,0.67557,0.70969,0.69282,0.68373,0.68172,1.26864,1.2344,1.2628,1.17201,1.26521,1.31818,1.11479,1.10781,1.09676,1.1046,1.08425,1.09082,0.8683444837280025,0.8572465532203463,0.8458083240541168,0.8522127957281072,0.8507280400884636,0.8299512506558471
2.372524452,0.35599,0.35778,0.35049,0.36978,0.34857,0.37371,0.61464,0.6339,0.5962,0.62136,0.59927,0.59413,0.71936,0.79789,0.80627,0.76107,0.79307,0.79574,1.48373,1.60747,1.79809,1.46857,1.62279,1.57908,0.64083,0.60782,0.6493,0.63192,0.61776,0.64204,1.12344,1.0778,1.12864,1.0258,1.11404,1.14858,1.09425,1.1053,1.08148,1.09983,1.09079,1.09111,0.8308647925,0.8392757866584907,0.8335306137962264,0.8356681526320752,0.833031991743396,0.8419342382660375
2.358057906,0.36442,0.35226,0.35958,0.36692,0.35184,0.37107,0.61705,0.62012,0.59839,0.60945,0.58028,0.58748,0.69804,0.7635,0.77836,0.7303,0.75761,0.76024,1.41002,1.67974,1.68634,1.48318,1.4802,1.57111,0.53266,0.52405,0.55313,0.53269,0.528,0.5472,0.92987,0.88714,0.93015,0.87775,0.92642,0.94177,1.09899,1.08708,1.0991,1.08932,1.07943,1.08071,0.8333847628520189,0.8351102543880438,0.8278744767970634,0.8130478613651807,0.8137745323558467,0.8236903769998952
2.343591359,0.36982,0.34039,0.35836,0.35636,0.35697,0.37136,0.6069,0.59821,0.59896,0.59054,0.57909,0.58331,0.70583,0.72602,0.74501,0.71755,0.73258,0.74262,1.4264,1.67896,1.5944,1.50926,1.49052,1.50254,0.44679,0.45091,0.46496,0.44294,0.45018,0.45684,0.78158,0.74057,0.76788,0.75353,0.78031,0.78193,1.09245,1.10809,1.08777,1.07126,1.08269,1.0813,0.8206219297583115,0.8096467306903513,0.8093657018580492,0.8031325237359203,0.8154168324351337,0.8135953649552176
2.329124812,0.3635,0.33125,0.35154,0.34665,0.36147,0.36749,0.58939,0.57567,0.59394,0.58038,0.58934,0.58179,0.72758,0.70025,0.73898,0.72448,0.73197,0.75899,1.48798,1.52433,1.58154,1.55843,1.49122,1.58805,0.38916,0.38735,0.39883,0.37939,0.38993,0.39185,0.67954,0.63424,0.66041,0.64087,0.66555,0.66284,1.0874,1.08347,1.0743,1.08447,1.06054,1.06544,0.8154618224551649,0.8004575319710537,0.8059955171410584,0.7835843296356579,0.787021004721762,0.7988258371911897
2.314657966,0.34683,0.33529,0.35473,0.34676,0.36049,0.35638,0.57679,0.57006,0.59147,0.58015,0.59654,0.57829,0.74019,0.70394,0.77612,0.74491,0.7458,0.79606,1.45588,1.43869,1.66102,1.63446,1.4714,1.87901,0.34263,0.3361,0.3535,0.33947,0.34124,0.34264,0.59837,0.55655,0.59008,0.55352,0.57824,0.57319,1.09793,1.08646,1.07983,1.07747,1.06611,1.06587,0.7921880012023073,0.7919709218223389,0.7924969113987415,0.7851865831717884,0.7911285460123757,0.7760298965315156
2.300191419,0.33246,0.34671,0.36135,0.35247,0.3521,0.34432,0.57712,0.57517,0.58538,0.5771,0.59492,0.56579,0.75571,0.74086,0.8306,0.78446,0.77446,0.8279,1.44474,1.46218,1.74373,1.71934,1.49446,1.80657,0.30239,0.30075,0.31837,0.31135,0.30185,0.3,0.52376,0.50265,0.53544,0.50043,0.51434,0.50935,1.07603,1.0703,1.07832,1.06695,1.05949,1.05795,0.7904862021145254,0.7740790335490823,0.7803454268674357,0.7717469510878866,0.7797412875026744,0.7760477887557943
