wave_num,S31-1,S31-2,S31-3,S31-4,S31-5,S31-6,S32-1,S32-2,S32-3,S32-4,S32-5,S32-6,S34-1,S34-2,S34-3,S34-4,S34-5,S34-6,S35-1,S35-2,S35-3,S35-4,S35-5,S35-6,S36-1,S36-2,S36-3,S36-4,S36-5,S36-6,S37-1,S37-2,S37-3,S37-4,S37-5,S37-6,S38-1,S38-2,S38-3,S38-4,S38-5,S38-6,S39-1,S39-2,S39-3,S39-4,S39-5,S39-6,S41-1,S41-2,S41-3,S41-4,S41-5,S41-6,S42-1,S42-2,S42-3,S42-4,S42-5,S42-6,S45-1,S45-2,S45-3,S45-4,S45-5,S45-6,S50-1,S50-2,S50-3,S50-4,S50-5,S50-6,S54-1,S54-2,S54-3,S54-4,S54-5,S54-6,S55-1,S55-2,S55-3,S55-4,S55-5,S55-6,S57-1,S57-2,S57-3,S57-4,S57-5,S57-6,S58-1,S58-2,S58-3,S58-4,S58-5,S58-6,S62-1,S62-2,S62-3,S62-4,S62-5,S62-6,S64-1,S64-2,S64-3,S64-4,S64-5,S64-6,S69-1,S69-2,S69-3,S69-4,S69-5,S69-6,S70-1,S70-2,S70-3,S70-4,S70-5,S70-6
1.649193819,0.55414,0.60266,0.57244,0.54542,0.49477,0.53778,0.73246,0.70897,0.67921,0.69163,0.73413,0.62954,0.43983,0.37754,0.43529,0.38655,0.37557,0.46486,0.25539,0.29139,0.28839,0.26508,0.26266,0.28952,0.44001,0.36004,0.37483,0.41329,0.37616,0.45792,0.39058,0.38907,0.36706,0.35193,0.35894,0.38109,0.37475,0.31005,0.31158,0.36406,0.3267,0.35188,0.2634,0.26547,0.27204,0.28641,0.24854,0.24298,0.23867,0.27416,0.20218,0.25003,0.26078,0.28761,0.33936,0.32677,0.31245,0.35275,0.33786,0.34626,0.28565,0.31605,0.3559,0.32678,0.31603,0.30287,0.24076,0.24705,0.26444,0.23082,0.25874,0.26949,0.84349,0.84136,0.75077,0.72493,0.79401,0.72236,0.87518,0.79416,0.73595,0.81425,0.7955,0.78313,0.2651,0.27152,0.29432,0.30625,0.25807,0.29253,0.49544,0.49705,0.49756,0.51944,0.5698,0.48213,0.21997,0.1757,0.2288,0.21948,0.18043,0.20889,0.24235,0.23411,0.21499,0.20337,0.20664,0.22302,0.76647,0.8367,0.76357,0.77301,0.77853,0.75706,0.23529,0.24698,0.22932,0.24572,0.21548,0.22211
1.634727273,0.52571,0.60383,0.56569,0.53125,0.52463,0.53694,0.70348,0.71548,0.65563,0.69103,0.74648,0.65567,0.41065,0.39226,0.4178,0.34601,0.37623,0.45408,0.23288,0.2666,0.27049,0.27196,0.2674,0.29819,0.36792,0.35634,0.37314,0.41665,0.34469,0.42991,0.3622,0.3727,0.34966,0.33946,0.34643,0.38108,0.37939,0.3389,0.30566,0.35958,0.32533,0.34381,0.2421,0.26657,0.26196,0.29631,0.24856,0.24417,0.20323,0.26924,0.20935,0.24713,0.27289,0.29983,0.34129,0.32088,0.29623,0.34707,0.33076,0.35435,0.25889,0.29974,0.33581,0.31583,0.30038,0.30894,0.21459,0.24283,0.25176,0.23083,0.25732,0.25423,0.82374,0.76902,0.71137,0.68482,0.748,0.67524,0.87034,0.77208,0.79312,0.81693,0.74113,0.73273,0.26698,0.28223,0.28379,0.30785,0.2548,0.29347,0.52892,0.46989,0.49834,0.52215,0.54757,0.5221,0.21296,0.18474,0.21705,0.20581,0.17162,0.19817,0.24089,0.22766,0.22961,0.19747,0.19984,0.22273,0.79369,0.79845,0.73864,0.73305,0.7825,0.74524,0.24617,0.2508,0.23597,0.24273,0.21993,0.23191
1.620260726,0.52272,0.62796,0.5746,0.51336,0.54504,0.5175,0.70252,0.65882,0.64535,0.69215,0.70977,0.67893,0.38783,0.39339,0.39228,0.33768,0.35782,0.42049,0.26523,0.24222,0.26161,0.26882,0.26514,0.29415,0.35414,0.38134,0.37299,0.39821,0.34214,0.39706,0.36614,0.34586,0.33648,0.35736,0.33671,0.36771,0.35205,0.38409,0.28625,0.35086,0.32298,0.33786,0.22531,0.24517,0.25055,0.29816,0.24265,0.24292,0.21483,0.24477,0.23519,0.22904,0.27178,0.27711,0.33279,0.32535,0.2819,0.33986,0.32775,0.34167,0.22903,0.31042,0.31017,0.30989,0.28818,0.30799,0.24894,0.24356,0.23036,0.2285,0.24962,0.23824,0.78935,0.72462,0.68615,0.66352,0.72788,0.65739,0.82053,0.77346,0.77132,0.75051,0.71439,0.67907,0.26952,0.27842,0.27658,0.29727,0.26392,0.29368,0.54497,0.46221,0.49812,0.51073,0.50815,0.53273,0.20221,0.19083,0.1992,0.18602,0.17665,0.19975,0.23004,0.2089,0.23832,0.19766,0.19001,0.22513,0.82781,0.79776,0.70628,0.74428,0.7415,0.71099,0.24694,0.24769,0.22895,0.2444,0.22032,0.24316
1.605794179,0.54739,0.61885,0.57976,0.51234,0.5408,0.51476,0.70041,0.58407,0.64695,0.70506,0.64188,0.68886,0.38886,0.38143,0.37631,0.35348,0.34547,0.39888,0.29922,0.23117,0.25716,0.25316,0.25965,0.27823,0.41716,0.4046,0.37321,0.3825,0.36379,0.36235,0.40384,0.33725,0.34397,0.37198,0.32152,0.3643,0.33394,0.41946,0.27489,0.33729,0.31294,0.33704,0.2481,0.24268,0.24374,0.28202,0.23275,0.24757,0.27235,0.24624,0.25514,0.21174,0.25028,0.26316,0.3437,0.33927,0.28657,0.33404,0.3192,0.31703,0.22493,0.33734,0.30322,0.29851,0.28833,0.30268,0.32065,0.2518,0.22511,0.22077,0.24604,0.23939,0.75887,0.73496,0.69643,0.67986,0.73636,0.65459,0.7976,0.81451,0.7693,0.7129,0.71532,0.6773,0.26596,0.26646,0.27455,0.28571,0.27329,0.27959,0.52274,0.48269,0.48946,0.49836,0.4773,0.49999,0.22486,0.19995,0.19067,0.17173,0.18623,0.22377,0.21099,0.19824,0.23699,0.20442,0.18668,0.21976,0.82984,0.80164,0.688,0.79191,0.70437,0.66998,0.23539,0.23711,0.2262,0.24868,0.22049,0.24734
1.591327333,0.57819,0.56806,0.55621,0.51793,0.53143,0.52477,0.66889,0.56779,0.64941,0.72775,0.59338,0.69457,0.3948,0.37577,0.3794,0.37064,0.34012,0.39738,0.31879,0.23104,0.23711,0.25308,0.24973,0.25245,0.47201,0.40713,0.35928,0.40267,0.39028,0.33867,0.42945,0.36047,0.36419,0.3676,0.31056,0.37207,0.36042,0.42502,0.29062,0.32362,0.29927,0.32455,0.2809,0.24867,0.24556,0.26058,0.22478,0.24999,0.30617,0.27014,0.25179,0.21572,0.22692,0.27326,0.36285,0.33832,0.28969,0.33276,0.29836,0.29515,0.25092,0.3701,0.29947,0.29192,0.29981,0.29782,0.35043,0.27064,0.23987,0.22607,0.24329,0.24868,0.76155,0.75871,0.73094,0.71038,0.71762,0.65582,0.80411,0.81639,0.87763,0.70939,0.71142,0.69394,0.26155,0.25676,0.27359,0.28835,0.26785,0.2521,0.48923,0.50031,0.47804,0.49143,0.47434,0.47704,0.25378,0.22112,0.19351,0.17582,0.19202,0.22707,0.19717,0.20567,0.22943,0.20997,0.18696,0.19974,0.7885,0.78723,0.68286,0.78969,0.71744,0.66584,0.22317,0.22447,0.22967,0.24868,0.22585,0.24994
1.576860786,0.58478,0.51257,0.51263,0.53313,0.54479,0.51755,0.62961,0.60586,0.66524,0.73135,0.59324,0.68566,0.38703,0.37026,0.39136,0.38137,0.33959,0.3968,0.32219,0.23371,0.21634,0.25754,0.23006,0.22559,0.43123,0.38784,0.34106,0.43316,0.41361,0.3381,0.41579,0.36888,0.36808,0.35831,0.31706,0.37402,0.38703,0.41181,0.30974,0.30847,0.28839,0.29249,0.28702,0.22297,0.25294,0.25961,0.22133,0.25343,0.28245,0.27911,0.23066,0.24575,0.21558,0.27258,0.35569,0.32226,0.2927,0.33682,0.27906,0.28353,0.28448,0.3934,0.27657,0.29391,0.30537,0.30427,0.32143,0.28218,0.25432,0.24298,0.22416,0.25606,0.79078,0.74654,0.74311,0.71818,0.693,0.65062,0.82081,0.78845,0.88419,0.70506,0.68877,0.69478,0.26477,0.24654,0.2751,0.29005,0.25713,0.22712,0.46604,0.49727,0.47734,0.48197,0.47844,0.46705,0.25856,0.24276,0.19902,0.19419,0.18843,0.19965,0.19552,0.21802,0.21989,0.20718,0.18367,0.17843,0.76274,0.77577,0.69651,0.71702,0.75331,0.69678,0.22427,0.22273,0.23064,0.24569,0.22106,0.25187
1.562394239,0.54785,0.47609,0.47306,0.5707,0.56562,0.49518,0.60747,0.62183,0.68545,0.69292,0.61867,0.67986,0.36518,0.35782,0.40443,0.38834,0.35769,0.38456,0.29823,0.23577,0.22615,0.25447,0.22035,0.21324,0.3639,0.37562,0.33962,0.42366,0.42202,0.35526,0.39184,0.34709,0.34323,0.35463,0.33827,0.36281,0.34791,0.38354,0.32682,0.30319,0.30254,0.27087,0.27563,0.20159,0.2521,0.27022,0.22485,0.26674,0.24081,0.26488,0.21789,0.2815,0.22711,0.25524,0.33048,0.31726,0.30595,0.34013,0.28232,0.2838,0.29207,0.37541,0.25958,0.29569,0.29581,0.31713,0.28323,0.28092,0.25495,0.25006,0.2192,0.26095,0.81038,0.72164,0.73783,0.73576,0.68726,0.62924,0.84221,0.78045,0.80849,0.71244,0.67562,0.69982,0.27139,0.24527,0.27174,0.2737,0.25638,0.21973,0.46544,0.48949,0.48193,0.46607,0.46006,0.44929,0.24645,0.25167,0.20505,0.21983,0.1906,0.17921,0.19127,0.22645,0.21397,0.20222,0.18182,0.16866,0.79311,0.78537,0.73851,0.67,0.75909,0.70461,0.23022,0.23799,0.23435,0.241,0.20622,0.25839
1.547927693,0.50272,0.46235,0.4565,0.60139,0.55559,0.48338,0.61853,0.60433,0.68855,0.65051,0.61972,0.68563,0.33988,0.35778,0.3872,0.37978,0.38582,0.35874,0.252,0.24091,0.25296,0.2549,0.23085,0.21021,0.34398,0.37622,0.33723,0.40499,0.40612,0.37248,0.37569,0.33499,0.31337,0.36432,0.35942,0.34564,0.27726,0.33667,0.33546,0.31968,0.3326,0.2724,0.26031,0.2181,0.23917,0.26707,0.23233,0.28169,0.22337,0.2379,0.23002,0.29924,0.24907,0.24501,0.31718,0.33268,0.31125,0.33049,0.29828,0.28367,0.2661,0.3306,0.25479,0.29327,0.28257,0.31103,0.27777,0.27992,0.24022,0.24263,0.24232,0.25905,0.80483,0.72657,0.75327,0.76834,0.68149,0.60806,0.81414,0.76313,0.77392,0.7207,0.66788,0.71825,0.27258,0.26263,0.26261,0.25578,0.26076,0.23338,0.50108,0.48525,0.46614,0.44714,0.4308,0.43651,0.22146,0.25968,0.21279,0.24034,0.20842,0.18249,0.18356,0.23167,0.20979,0.20434,0.18672,0.17302,0.82372,0.78555,0.76065,0.69298,0.74684,0.69332,0.23196,0.25529,0.24087,0.24242,0.20654,0.2695
1.533460846,0.48323,0.47319,0.46219,0.59251,0.52441,0.47852,0.63471,0.6032,0.6714,0.61743,0.61169,0.64781,0.32348,0.36615,0.32542,0.36109,0.39235,0.33252,0.20331,0.25614,0.2542,0.25434,0.23436,0.2058,0.3842,0.37922,0.31296,0.4021,0.38032,0.37242,0.36449,0.33562,0.2968,0.37559,0.37167,0.33181,0.25136,0.29669,0.32132,0.33809,0.32889,0.28216,0.24981,0.24062,0.23038,0.2591,0.23881,0.28147,0.23597,0.2124,0.24076,0.29465,0.25518,0.24753,0.32038,0.34194,0.2952,0.30237,0.29973,0.27381,0.24654,0.29753,0.24877,0.28278,0.27184,0.28899,0.29907,0.28225,0.21819,0.23005,0.25827,0.24182,0.80397,0.75423,0.76101,0.77842,0.66778,0.62851,0.7629,0.72631,0.72195,0.69706,0.65471,0.73931,0.26689,0.28245,0.25803,0.2484,0.25383,0.25769,0.53473,0.46878,0.44302,0.4256,0.42053,0.43,0.20966,0.26685,0.22592,0.24346,0.22204,0.20386,0.19163,0.23177,0.20976,0.20848,0.1989,0.1941,0.81563,0.77364,0.74523,0.72285,0.71969,0.69643,0.23762,0.26344,0.23627,0.2565,0.2243,0.26581
1.518994299,0.4908,0.48892,0.46486,0.54038,0.4893,0.47221,0.62132,0.61292,0.63709,0.58715,0.61832,0.58532,0.32402,0.36378,0.28308,0.34931,0.37433,0.32328,0.20239,0.2765,0.23628,0.23786,0.22465,0.21511,0.41463,0.37569,0.28897,0.3867,0.35196,0.35896,0.35867,0.32113,0.29517,0.36542,0.35432,0.32287,0.27611,0.27208,0.30606,0.33214,0.30624,0.29669,0.25878,0.23598,0.22946,0.26115,0.23925,0.26438,0.24347,0.19508,0.22784,0.27347,0.24736,0.25391,0.31443,0.31945,0.28316,0.27856,0.29699,0.26349,0.24946,0.28107,0.25835,0.27188,0.25983,0.27034,0.31538,0.27841,0.20397,0.21477,0.267,0.22903,0.79039,0.73899,0.72002,0.73142,0.64752,0.67839,0.74332,0.69623,0.61684,0.65605,0.64401,0.76144,0.2678,0.29108,0.263,0.25359,0.24119,0.28165,0.51323,0.44652,0.44746,0.41228,0.42661,0.41818,0.23653,0.26146,0.2444,0.24389,0.23203,0.23232,0.21325,0.22976,0.22318,0.21207,0.21944,0.22663,0.8146,0.77205,0.73788,0.69208,0.6505,0.69028,0.24533,0.26532,0.23194,0.27664,0.24388,0.25229
